x0_Block,x0_Mixed,x0_Monolithic,x0_Others,x0_Panel,"x0_Stone, brick",x0_Wooden,x1_Cash loans,x1_Revolving loans,x2_Children,x2_Family,x2_Other_A,x2_Other_B,"x2_Spouse, partner",x2_Unaccompanied,x3_Commercial associate,x3_Pensioner,x3_State servant,x3_Working,x4_Higher education,x4_Incomplete higher,x4_Secondary / secondary special,x5_No,x5_Yes,x6_F,x6_M,x7_N,x7_Y,x8_N,x8_Y,x9_block of flats,x9_specific housing,x9_terraced house,x10_FRIDAY,x10_MONDAY,x10_SATURDAY,x10_SUNDAY,x10_THURSDAY,x10_TUESDAY,x10_WEDNESDAY,x11_Co-op apartment,x11_House / apartment,x11_Municipal apartment,x11_Office apartment,x11_Rented apartment,x11_With parents,x12_Civil marriage,x12_Married,x12_Separated,x12_Single / not married,x12_Widow,REGION_RATING_CLIENT_W_CITY,FLAG_EMP_PHONE,FLAG_DOCUMENT_15,YEARS_BEGINEXPLUATATION_MODE,AMT_ANNUITY,SK_ID_CURR,FLAG_DOCUMENT_11,ENTRANCES_MEDI,AMT_REQ_CREDIT_BUREAU_HOUR,FLAG_DOCUMENT_3,OBS_30_CNT_SOCIAL_CIRCLE,DAYS_ID_PUBLISH,REG_REGION_NOT_LIVE_REGION,NONLIVINGAREA_MEDI,BASEMENTAREA_MEDI,REGION_POPULATION_RELATIVE,AMT_REQ_CREDIT_BUREAU_WEEK,DEF_60_CNT_SOCIAL_CIRCLE,FLAG_DOCUMENT_12,AMT_REQ_CREDIT_BUREAU_YEAR,CNT_CHILDREN,FLOORSMAX_AVG,FLAG_PHONE,FLAG_DOCUMENT_17,FLAG_EMAIL,FLAG_DOCUMENT_8,APARTMENTS_MEDI,YEARS_BEGINEXPLUATATION_MEDI,REG_CITY_NOT_LIVE_CITY,FLOORSMAX_MEDI,EXT_SOURCE_2,EXT_SOURCE_3,REG_CITY_NOT_WORK_CITY,TOTALAREA_MODE,FLOORSMAX_MODE,DAYS_BIRTH,EXT_SOURCE_1,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_MON,HOUR_APPR_PROCESS_START,FLAG_DOCUMENT_20,ELEVATORS_MEDI,NONLIVINGAREA_AVG,AMT_GOODS_PRICE,AMT_INCOME_TOTAL,LIVINGAREA_MEDI,FLAG_MOBIL,APARTMENTS_AVG,ENTRANCES_AVG,CNT_FAM_MEMBERS,FLAG_DOCUMENT_21,REG_REGION_NOT_WORK_REGION,LANDAREA_MEDI,ENTRANCES_MODE,REGION_RATING_CLIENT,LIVE_REGION_NOT_WORK_REGION,LIVINGAREA_MODE,FLAG_DOCUMENT_10,APARTMENTS_MODE,OBS_60_CNT_SOCIAL_CIRCLE,FLAG_DOCUMENT_19,YEARS_BEGINEXPLUATATION_AVG,DAYS_REGISTRATION,ELEVATORS_AVG,FLAG_DOCUMENT_14,LANDAREA_MODE,DAYS_EMPLOYED,BASEMENTAREA_MODE,LANDAREA_AVG,FLAG_CONT_MOBILE,DEF_30_CNT_SOCIAL_CIRCLE,FLAG_DOCUMENT_5,BASEMENTAREA_AVG,AMT_REQ_CREDIT_BUREAU_QRT,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,LIVINGAREA_AVG,TARGET,FLAG_DOCUMENT_9,FLAG_WORK_PHONE,AMT_CREDIT,FLAG_DOCUMENT_4,ELEVATORS_MODE,FLAG_DOCUMENT_6,NONLIVINGAREA_MODE,LIVE_CITY_NOT_WORK_CITY
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.8392857142857135,0.2779867397679459,0.6239343635422994,0.0,0.49999999999999994,0.0,1.0,0.0,0.3161875945537065,0.0,0.0011459527034066049,0.1484,0.06958951033243485,0.0,0.0,0.0,0.0,0.0,0.17395387665657933,1.0,0.0,0.0,0.0,0.1531899109792285,0.8392857142857135,0.0,0.17395387665657933,0.7365771958334608,0.4199537172231976,0.0,0.13331731924093201,0.17395387665657933,0.5744044126276259,0.29341320098907164,0.0,0.0,0.7222222222222221,0.0,0.0,0.0010636034886194426,0.5876288659793815,0.47058823529411764,0.16386698663009944,0.0,0.15318352059925097,0.49999999999999994,0.25,0.0,0.0,0.1386,0.49999999999999994,0.5,0.0,0.1638941609914034,0.0,0.15314873805439844,0.0,0.0,0.8392857142857135,0.959105314480741,0.0,0.0,0.1394,0.03308916860588111,0.154,0.1363,1.0,0.0,0.0,0.1484,0.25,0.49291617473435656,0.0,0.16389438176107943,0.0,0.0,0.0,0.6565198314138613,0.0,0.0,0.0,0.002431476569407604,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.6769480519480524,0.1673148030090527,0.9765784915761297,0.0,0.22726074347482203,0.0,1.0,0.0,0.7503782148260212,0.0,0.0,0.1084,0.272868935309973,0.0,0.0,0.0,0.5,0.0,0.17395387665657933,0.0,0.0,0.0,0.0,0.12747279920870425,0.6769480519480524,0.0,0.17395387665657933,0.5821996366630082,0.7356283893505171,0.0,0.09632476579389862,0.17395387665657933,0.4110433047764346,0.41461299615332853,0.0,0.0,0.4444444444444445,0.0,0.0,0.0,0.1422680412371134,0.20588235294117646,0.10650211404410927,0.0,0.12746566791510613,0.22726074347482203,0.25,0.0,0.0,0.0364,0.22726074347482203,1.0,0.0,0.10650887573964496,0.0,0.1274197500612595,0.0,0.0,0.6769480519480524,0.4607508532423208,0.0,0.0,0.0366,0.0314258514914322,0.1124,0.0358,1.0,0.0,0.0,0.1084,0.5,0.48317591499409684,0.0,0.1064324764452716,0.0,0.0,0.0,0.17203595538183472,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7418831168831161,0.04912023460410558,0.919886069685314,0.0,0.13630371737411018,0.0,0.0,0.0,0.2539922676080013,0.0,0.023335764142098137,0.0822,0.3353548966756514,0.0,0.0,0.0,0.25,0.0,0.17395387665657933,1.0,0.0,0.0,0.0,0.09013353115727003,0.7418831168831161,0.0,0.17395387665657933,0.059872805304385796,0.9398691131729872,0.0,0.07050204179678117,0.17395387665657933,0.12422250909517651,0.7602559245147094,0.0,0.0,0.7777777777777777,0.0,0.0,0.023399276749627735,0.177319587628866,0.03823529411764706,0.07976231287852818,0.0,0.09013732833957554,0.13630371737411018,0.0,0.0,0.0,0.0939,0.13630371737411018,0.5,0.0,0.07971419001897957,0.0,0.09005145797598628,0.0,0.0,0.7418831168831161,0.26206728425158454,0.0,0.0,0.0944,1.0,0.0853,0.0923,1.0,0.0,0.0,0.0822,0.25,0.9306375442739079,0.0,0.07979527742235662,0.0,0.0,0.0,0.1683124076660803,0.0,0.0,1.0,0.05128205128205128,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6769480519480524,0.158102766798419,0.012776390669635818,0.0,0.13630371737411018,0.0,1.0,0.0,0.2349974785678265,0.0,0.0020835503698301908,0.0767,0.010753593890386343,0.0,0.0,0.0,0.25,0.0,0.17395387665657933,0.0,0.0,0.0,0.0,0.10299208704253214,0.6769480519480524,0.0,0.17395387665657933,0.6924990104811619,0.7997590310681073,0.0,0.0942829690127312,0.17395387665657933,0.6498650393146344,0.10047328055902804,0.0,0.0,0.7777777777777777,0.0,0.0,0.0021272069772388853,0.1752577319587629,0.28823529411764703,0.08821848931550681,0.0,0.10299625468164796,0.13630371737411018,0.0,0.0,0.0,0.0318,0.13630371737411018,1.0,0.0,0.08819917383052361,0.0,0.10291595197255575,0.0,0.0,0.6769480519480524,0.5148707947342759,0.0,0.0,0.0319,0.02513750793314999,0.0796,0.0312,1.0,0.0,0.0,0.0767,0.0,0.9412632821723731,0.0,0.08828661160870069,1.0,0.0,0.0,0.19818129853191585,0.0,0.0,0.0,0.004641909814323607,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6931818181818183,0.14869947724085172,0.4544250624198664,0.0,0.22726074347482203,0.0,1.0,0.0,0.9662128088754413,0.0,0.00885508907177831,0.1314,0.6309523809523809,0.0,0.0,0.0,0.0,0.0,0.34780340185745584,0.0,0.0,0.0,0.0,0.2767062314540059,0.6931818181818183,0.0,0.34780340185745584,0.8412247114813932,0.4609513841230152,0.0,0.24429497958203217,0.34780340185745584,0.8624574580448304,0.16231355037560385,0.0,0.14285714285714285,0.5555555555555556,0.0,0.2608695652173913,0.008934269304403317,0.12164948453608249,0.20588235294117646,0.25597074620043425,0.0,0.2766541822721598,0.22726074347482203,0.25,0.0,0.0,0.0707,0.22726074347482203,0.0,0.0,0.25588924863235457,0.0,0.2766478804214653,0.0,0.0,0.6931818181818183,0.7982691370063383,0.2608695652173913,0.0,0.0711,0.03205521472392638,0.1364,0.0695,1.0,0.0,0.0,0.1314,0.0,0.8798701298701299,0.0,0.2559032220542049,0.0,0.0,0.0,0.14542567194940806,0.0,0.2609024179620034,0.0,0.01967285587975243,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.7743506493506498,0.09849547367078926,0.46360246980228087,0.0,0.40904297389928806,0.0,1.0,0.0,0.2220541267439906,0.0,0.0010417751849150954,0.4369,0.2460270664869721,0.0,0.0,0.0,0.125,0.0,0.34780340185745584,1.0,0.0,0.0,0.0,0.4749010880316518,0.7743506493506498,0.0,0.34780340185745584,0.700538989912535,0.8961854686357636,0.0,0.36500120105693007,0.34780340185745584,0.5215937096584907,0.30107447265169474,0.0,0.0,0.7222222222222221,0.0,0.43478260869565216,0.0009572431397574983,0.11340206185567012,0.20588235294117646,0.4492058050508514,0.0,0.4749063670411986,0.40904297389928806,0.25,0.0,0.0,0.2113,0.40904297389928806,0.5,0.0,0.44914591939265375,0.0,0.47488360695907866,0.0,0.0,0.7743506493506498,0.4941491955143832,0.43478260869565216,0.0,0.2124,0.03347789295536281,0.4534,0.2077,1.0,0.0,0.0,0.4369,0.0,0.5306965761511216,0.0,0.44911015470512966,0.0,0.0,1.0,0.12079591335606377,0.0,0.4348013816925734,0.0,0.0022104332449160036,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.8392857142857135,0.05249904373326534,0.3342077738039004,0.0,0.0908252043237543,0.0,0.0,0.3333333333333333,0.29685661455706835,0.0,0.0,0.0578,0.3525943396226415,0.0,0.0,0.0,0.0,0.3333333333333333,0.08692476260043826,1.0,0.0,0.0,0.0,0.034742828882294755,0.8392857142857135,0.0,0.08692476260043826,0.0,0.4199537172231976,0.0,0.027143886620225793,0.08692476260043826,0.7155263466729257,0.049920140124082,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.09278350515463918,0.07647058823529414,0.033481887784253234,0.0,0.03470661672908864,0.0908252043237543,0.25,0.0,0.0,0.0292,0.0908252043237543,0.5,0.0,0.033381712626995644,0.0,0.034795393285959327,0.3333333333333333,0.0,0.8392857142857135,0.5819722086786933,0.0,0.0,0.0293,0.03309974613920034,0.06,0.0287,1.0,0.0,0.0,0.0578,0.0,0.7659386068476978,0.0,0.033383738513434916,1.0,0.0,1.0,0.0857905393709821,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9431818181818183,0.19402652046410815,0.6946768787817441,0.0,0.0,0.0,1.0,0.08333333333333333,0.6187594553706506,0.0,0.0,0.1309,0.14573506289308036,0.0,0.0,0.0,0.0,0.0,0.17395387665657933,0.0,0.0,0.0,0.0,0.07727497527200791,0.9431818181818183,0.0,0.17395387665657933,0.7967994305448123,0.1543128480328304,0.0,0.11013692049003122,0.17395387665657933,0.3665649571646521,0.8702885125173475,0.0,0.14285714285714285,0.8888888888888888,0.0,0.0,0.0,0.2804123711340206,0.3235294117647059,0.1221574677179751,0.0,0.07727840199750313,0.0,0.25,0.0,0.0,0.0231,0.0,0.0,0.0,0.12213910907669978,0.0,0.07718696397941681,0.08333333333333333,0.0,0.9431818181818183,0.9549609946367624,0.0,0.0,0.0232,0.009675798603765603,0.1358,0.0227,1.0,0.0,0.0,0.1309,0.0,1.0,0.0,0.12213562870768871,0.0,0.0,0.0,0.341161505359896,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.7581168831168839,0.435005737600408,0.8556554648311852,0.0,0.04547851305035592,0.0,0.0,0.0,0.24642797108757775,1.0,0.0,0.0282,0.06922450584007188,0.0,0.0,0.0,0.0,0.0,0.17395387665657933,0.0,0.0,0.0,0.0,0.03857566765578635,0.7581168831168839,0.0,0.17395387665657933,0.8485813645860748,0.3762901438929892,0.0,0.031828008647609894,0.17395387665657933,0.7493838751320268,0.8965145560398742,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,0.5876288659793815,0.5588235294117647,0.02742543709290367,0.0,0.038576779026217235,0.04547851305035592,0.25,0.0,1.0,0.0273,0.04547851305035592,0.5,0.0,0.027464552863682035,0.0,0.038593481989708404,0.0,0.0,0.7581168831168839,0.6328620185275475,0.0,0.0,0.0274,0.030357520626189974,0.0292,0.0268,1.0,0.0,0.0,0.0282,0.0,1.0,0.0,0.027451436547632893,0.0,0.0,0.0,0.568845378171557,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.9512987012987022,0.3782353691189596,0.41567694626268076,0.0,0.1817822304244661,0.0,1.0,0.16666666666666666,0.8023197175995966,0.0,0.2021043858735285,0.1569,0.3844760781671159,0.0,0.6666666666666666,0.0,0.25,0.6666666666666666,0.6086820411144735,0.0,0.0,0.0,0.0,0.3024233432245302,0.9512987012987022,0.0,0.6086820411144735,0.804014600872263,0.3444096087484365,1.0,0.3675234206101369,0.6086820411144735,0.4290576223447953,0.739512561317891,0.0,0.0,0.5555555555555556,0.0,0.34782608695652173,0.20208466283769408,1.0,0.4117647058823529,0.38452748257342023,0.0,0.30249687890137333,0.1817822304244661,0.75,0.0,0.0,0.3887,0.1817822304244661,0.5,0.0,0.3845037400915485,0.0,0.30237686841460426,0.16666666666666666,0.0,0.9512987012987022,0.8862140419307654,0.34782608695652173,0.0,0.3907,0.0311429024751428,0.1628,0.382,1.0,0.4,0.0,0.1569,0.0,0.8122786304604487,0.0,0.3844364313132488,1.0,0.0,0.0,0.971391077172036,0.0,0.34779792746113986,0.0,0.4447391688770999,1.0
